<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Eksempel:</b> SAL- {first_name} - {date_of_birth.year} <br> Dette genererer et kodeord som SAL-Jane-1972,
Abbr,Forkortelse,
Absent,Ikke-tilstede,
Absent Days,Fraværende dage,
Academics User,akademikere Bruger,
Accepted,Accepteret,
Account,Konto,
Account Head,Konto hoved,
Accounting,Regnskab,
Accounting Details,Regnskabsdetaljer,
Accounting Dimensions,Regnskabsmæssige dimensioner,
Accounts,Regnskab,
Action,Handling,
Active,Aktiv,
Activities,Aktiviteter,
Activity Name,Aktivitetsnavn,
Actual Amount,Faktisk beløb,
Actual Cost,Faktiske omkostninger,
Add unused leaves from previous allocations,Tilføj ubrugt fravær fra tidligere tildelinger,
Additional Amount,Yderligere beløb,
Additional Salary,Yderligere løn,
Additional Salary ,Yderligere løn,
Address of Organizer,Arrangørens adresse,
Advance,Advance,
Advance Account,Advance konto,
Advance Amount,Advance Beløb,
Advance Paid,Forudbetalt,
Advance Payments,Forudbetalinger,
Advances,Forskud,
All,Alle,
Allocated Amount,Tildelte beløb,
Allocation,Tildeling,
Allow Encashment,Tillad indløsning,
Allow Negative Balance,Tillad negativ fraværssaldo,
Allow Tax Exemption,Tillad skattefritagelse,
Allow User,Tillad Bruger,
Allow Users,Tillad brugere,
Allow check-out after shift end time (in minutes),Tillad check-out efter skiftets sluttid (i minutter),
Allow the following users to approve Leave Applications for block days.,Tillad følgende brugere til at godkende fraværsansøgninger på blokerede dage.,
Alternating entries as IN and OUT during the same shift,Skiftende poster som IN og OUT under samme skift,
Amended From,Ændret Fra,
Amount,Beløb,
Amount based on formula,Antal baseret på formlen,
Annual Allocation,Årlig tildeling,
Any other details,Eventuelle andre detaljer,
Applicable For,Gældende For,
Applicable in the case of Employee Onboarding,Gælder for medarbejder ombordstigning,
Applicant Email Address,Ansøgerens e-mail-adresse,
Applicant for a Job,Ansøger,
Applies to Company,Gælder for hele firmaet,
Apply / Approve Leaves,Anvend / Godkend fravær,
Appointment Date,Udnævnelsesdato,
Appointment Letter,Aftalerbrev,
Appointment Letter Template,Aftalebrevskabelon,
Appointment Letter content,Udnævnelsesbrev Indhold,
Appraisal,Vurdering,
Appraisal Goal,Vurderingsmål,
Appraisal Template,Vurderingsskabelon,
Appraisal Template Goal,Skabelon til vurderingsmål,
Appraisal Template Title,Vurderingsskabelonnavn,
Approval Status,Godkendelsesstatus,
Approved,godkendt,
Approver,Godkender,
Apps,Apps,
Archived,Arkiveret,
Arrival Datetime,Ankomst Dato time,
Asset Name,Aktivnavn,
Attachments,Vedhæftninger,
Attendance,Fremmøde,
Attendance Date,Fremmøde dato,
Attendance From Date,Fremmøde fradato,
Attendance Marked,Deltagelse markeret,
Attendance Request,Deltagelse anmodning,
Attendance To Date,Fremmøde til dato,
Attendance will be marked automatically only after this date.,Deltagelse markeres automatisk efter denne dato.,
Attendees,Deltagere,
Auto Attendance Settings,Indstillinger for automatisk deltagelse,
Auto Leave Encashment,Automatisk forladt kabinet,
Awaiting Response,Afventer svar,
Bank Account,Bankkonto,
Bank Account No,Bankkonto nr,
Bank Details,Bank detaljer,
Bank Name,Bank navn,
Bank Remittance,Bankoverførsel,
Base,Grundlag,
Begin On (Days),Begynd på (dage),
Begin check-in before shift start time (in minutes),Start check-in før skiftets starttid (i minutter),
Beginner,Begynder,
Bimonthly,Hver anden måned,
Block Date,Blokeringsdato,
Block Days,Blokér dage,
Block Holidays on important days.,Blokér ferie på vigtige dage.,
Blue,Blå,
Body,Legeme,
Bonus Amount,Bonusbeløb,
Bonus Payment Date,Bonus Betalingsdato,
Branch,Filial,
Calculate Payroll Working Days Based On,Beregn lønningsarbejdsdage baseret på,
Calculated in days,Beregnes i dage,
Cancelled,Annulleret,
Carry Forward,Benyt fortsat fravær fra sidste regnskabsår,
Carry Forwarded Leaves,Carry Videresendte Blade,
Change,Ændre,
Check Vacancies On Job Offer Creation,Tjek ledige stillinger ved oprettelse af jobtilbud,
Check-in Date,Check-in dato,
Check-out Date,Check-out dato,
Claim Benefit For,Claim fordele for,
Claim Date,Claim Date,
Claimed,hævdede,
Claimed Amount,Påstået beløb,
Clearance Date,Clearance Dato,
Closed,Lukket,
Closing Notes,Lukningsnotater,
Color,Farve,
