<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Пример:</b> САЛ- {прво име} - {датум_оф_биртх.год.} <br> Ово ће генерисати лозинку попут САЛ-Јане-1972,
Abbr,Аббр,
About,O Nama,
Absent,Одсутан,
Absent Days,Одсутни дани,
Academics User,akademici Корисник,
Accepted,Прихваћено,
Account,Рачун,
Account Head,Рачун шеф,
Accounting,Рачуноводство,
Accounting Details,Књиговодство Детаљи,
Accounting Dimensions,Рачуноводствене димензије,
Accounts,Рачуни,
Action,Акција,
Active,Aktivan,
Activities,Активности,
Activity Name,Назив активности,
Actual Amount,Стварни износ,
Actual Cost,Стварна цена,
Add unused leaves from previous allocations,Додај неискоришћене листове из претходних алокација,
Additional Amount,Додатни износ,
Additional Salary,Додатна плата,
Additional Salary ,Додатна плата,
Address of Organizer,Адреса организатора,
Advance,Адванце,
Advance Account,Адванце Аццоунт,
Advance Amount,Унапред Износ,
Advance Paid,Адванце Паид,
Advance Payments,Адванце Плаћања,
Advances,Аванси,
All,Све,
Allocated Amount,Додијељени износ,
Allocation,Алокација,
Allow Encashment,Дозволи Енцасхмент,
Allow Negative Balance,Дозволи негативан салдо,
Allow Tax Exemption,Дозволи изузеће од пореза,
Allow User,Дозволите кориснику,
Allow Users,Дозволи корисницима,
Allow check-out after shift end time (in minutes),Дозволи одјаву након завршетка смене (у минутама),
Allow the following users to approve Leave Applications for block days.,Дозволи следеће корисницима да одобри Апликације оставити за блок дана.,
Alternating entries as IN and OUT during the same shift,Наизменични уноси као ИН и ОУТ током исте смене,
Amended From,Izmijenjena iz,
Amount,Износ,
Amount based on formula,Износ на основу формуле,
Annual Allocation,Годишња додјела,
Any other details,Било који други детаљ,
Applicable For,Применимо для,
Applicable in the case of Employee Onboarding,Примењује се у случају Емплоиее Онбоардинг,
Applicant Email Address,Е-адреса подносиоца захтева,
Applicant for a Job,Подносилац захтева за посао,
Applies to Company,Примењује се на предузећа,
Apply / Approve Leaves,Нанесите / Цоунт Леавес,
Appointment Date,Датум именовања,
Appointment Letter,Писмо о именовању,
Appointment Letter Template,Предложак писма о именовању,
Appointment Letter content,Садржај писма о састанку,
Appraisal,Процена,
Appraisal Goal,Процена Гол,
Appraisal Template,Процена Шаблон,
Appraisal Template Goal,Процена Шаблон Гол,
Appraisal Template Title,Процена Шаблон Наслов,
Approval Status,Статус одобравања,
Approved,Одобрено,
Approver,Одобраватељ,
Apps,Апликације,
Archived,Архивирано,
Arrival Datetime,Долазак Датетиме,
